"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2020-01-01","2020","01","01","","1.3","","-0.9","","0.2","","17.8","","0.0","","","","","","0.9","","16","","25","","36",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2020-01-02","2020","01","02","","4.0","","-1.4","","1.3","","16.7","","0.0","","","","","","0.0","","16","","26","","32",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2020-01-03","2020","01","03","","5.2","","1.3","","3.2","","14.8","","0.0","","","","","","0.0","","13","","","","",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2020-01-04","2020","01","04","","1.9","","-2.0","","-0.1","","18.1","","0.0","","","","","","0.2","","8","","","","",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2020-01-05","2020","01","05","","-1.8","","-11.7","","-6.7","","24.7","","0.0","","","","","","0.2","","8","","29","","42",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2020-01-06","2020","01","06","","-4.7","","-12.2","","-8.5","","26.5","","0.0","","","","","","2.1","","8","","","","",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2020-01-07","2020","01","07","","-2.0","","-8.3","","-5.1","","23.1","","0.0","","","","","","0.3","","10","","24","","31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2020-01-08","2020","01","08","","-0.1","","-11.3","","-5.7","","23.7","","0.0","","","","","","1.6","","10","","30","","54",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2020-01-09","2020","01","09","","-7.9","","-16.2","","-12.0","","30.0","","0.0","","","","","","0.2","","8","","27","","43",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2020-01-10","2020","01","10","","3.2","","-10.1","","-3.5","","21.5","","0.0","","","","","","0.0","","8","","","","",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2020-01-11","2020","01","11","","6.6","","-3.7","","1.4","","16.6","","0.0","","","","","","44.4","","5","","4","","43",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2020-01-12","2020","01","12","","-3.6","","-9.4","","-6.5","","24.5","","0.0","","","","","","12.5","","4","","","","",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2020-01-13","2020","01","13","","-7.1","","-10.0","","-8.6","","26.6","","0.0","","","","","","0.0","","6","","","","",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2020-01-14","2020","01","14","","-5.5","","-7.3","","-6.4","","24.4","","0.0","","","","","","1.4","","5","","","","",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2020-01-15","2020","01","15","","0.8","","-6.8","","-3.0","","21.0","","0.0","","","","","","0.6","","6","","","","",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2020-01-16","2020","01","16","","-0.5","","-13.7","","-7.1","","25.1","","0.0","","","","","","3.7","","8","","32","","48",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2020-01-17","2020","01","17","","-13.6","","-19.9","","-16.8","","34.8","","0.0","","","","","","0.4","","8","","26","","33",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2020-01-18","2020","01","18","","-13.1","","-17.9","","-15.5","","33.5","","0.0","","","","","","7.5","","8","","5","","37",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2020-01-19","2020","01","19","","-8.3","","-16.7","","-12.5","","30.5","","0.0","","","","","","1.9","","17","","2","","35",""
